GEOID,Population
05000US29105,2755
05000US29107,3596
05000US29109,3473
05000US29111,1816
05000US29113,4225
05000US29115,2320
05000US29117,2139
05000US29119,2277
05000US29121,2703
05000US29123,1350
05000US29125,1004
05000US29127,2965
05000US29129,814
05000US29131,2514
05000US29133,1723
05000US29135,2559
05000US29137,1735
05000US29139,2161
05000US29141,2111
05000US29143,2452
05000US29145,6256
05000US29147,3973
05000US29149,1350
05000US29151,2132
05000US29153,1514
05000US29155,2570
05000US29157,2152
05000US29159,5043
05000US29161,3998
05000US29163,2746
05000US29165,8682
05000US29167,3113
05000US29169,4071
05000US29171,669
